compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,class_2,non-white,72,0.170623658891119
prison,probation,class_2,non-white,84,0.0578666851249394
prison,probation,class_2,non-white,96,0.0331902817193881
prison,probation,class_2,non-white,108,0.0127015989478785
prison,probation,class_2,non-white,120,0.01668166401329
prison,probation,class_2,non-white,132,0.00314944279089084
prison,probation,class_2,non-white,144,0.00737177268637087
prison,probation,class_2,non-white,156,0.00179968159479477
prison,probation,class_2,non-white,168,0.00422232989548003
prison,probation,class_2,non-white,180,0.00263030386931543
prison,probation,class_2,non-white,192,0.00107288710458919
prison,probation,class_2,non-white,204,0.000242264830068526
prison,probation,class_2,non-white,216,0.00121132415034263
prison,probation,class_2,non-white,228,0.0000692185228767218
prison,probation,class_2,non-white,240,0.00121132415034263
prison,probation,class_2,non-white,252,0.000103827784315083
prison,probation,class_2,non-white,264,0.000276874091506887
prison,probation,class_2,non-white,276,0.0000346092614383609
prison,probation,class_2,non-white,288,0.000103827784315083
prison,probation,class_2,non-white,300,0.000346092614383609
prison,probation,class_2,non-white,312,0.000173046307191805
prison,probation,class_2,non-white,324,0.0000346092614383609
prison,probation,class_2,non-white,336,0.000138437045753444
prison,probation,class_2,non-white,348,0
prison,probation,class_3,white,12,0.00242647772493449
prison,probation,class_3,white,24,0.41036591284092
prison,probation,class_3,white,36,0.281374356983403
prison,probation,class_3,white,48,0.161215180044647
prison,probation,class_3,white,60,0.0899737940405707
prison,probation,class_3,white,72,0.024555954576337
prison,probation,class_3,white,84,0.0103853246627196
prison,probation,class_3,white,96,0.0102882655537222
prison,probation,class_3,white,108,0.00320295059691352
prison,probation,class_3,white,120,0.00621178297583228
prison,probation,class_3,white,132,0
prison,probation,class_3,white,144,0
prison,probation,class_3,white,156,0
prison,probation,class_3,white,168,0
prison,probation,class_3,white,180,0
prison,probation,class_3,non-white,12,0.0037909163811329
prison,probation,class_3,non-white,24,0.46723044397463
prison,probation,class_3,non-white,36,0.23051687686812
prison,probation,class_3,non-white,48,0.151199241816724
prison,probation,class_3,non-white,60,0.0944813005759277
prison,probation,class_3,non-white,72,0.020850040096231
prison,probation,class_3,non-white,84,0.0105708245243129
prison,probation,class_3,non-white,96,0.0103521178100168
prison,probation,class_3,non-white,108,0.00393672085733032
prison,probation,class_3,non-white,120,0.00699861485747612
prison,probation,class_3,non-white,132,0.0000729022380987096
prison,probation,class_3,non-white,144,0
prison,probation,class_3,non-white,156,0
prison,probation,class_3,non-white,168,0
prison,probation,class_3,non-white,180,0
