,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
671,release,release_permanently,Sexual offenses,73,3.0,,,0.78,
672,release,prison,Theft/forgery/fraud,73,1.0,0.08,0.08,0.08,
673,release,prison,Theft/forgery/fraud,73,2.0,0.04,0.11,0.075,
674,release,prison,Theft/forgery/fraud,73,3.0,0.04,0.08,0.06,
675,release,release_permanently,Theft/forgery/fraud,73,3.0,,,0.785,
676,release,prison,Violent personal,73,1.0,0.08,0.11,0.095,
677,release,prison,Violent personal,73,2.0,0.04,0.08,0.06,
678,release,prison,Violent personal,73,3.0,0.04,0.07,0.055,
679,release,release_permanently,Violent personal,73,3.0,,,0.79,
680,release,prison,Weapons,73,1.0,0.08,0.08,0.08,
681,release,prison,Weapons,73,2.0,0.04,0.11,0.075,
682,release,prison,Weapons,73,3.0,0.04,0.09,0.065,
683,release,release_permanently,Weapons,73,3.0,,,0.78,
684,release,prison,Burglary,74,1.0,0.08,0.1,0.09,
685,release,prison,Burglary,74,2.0,0.04,0.11,0.075,
686,release,prison,Burglary,74,3.0,0.04,0.08,0.06,
687,release,release_permanently,Burglary,74,3.0,,,0.775,
688,release,prison,Drug offenses,74,1.0,0.08,0.05,0.065,
689,release,prison,Drug offenses,74,2.0,0.04,0.07,0.055,
690,release,prison,Drug offenses,74,3.0,0.04,0.07,0.055,
691,release,release_permanently,Drug offenses,74,3.0,,,0.825,
692,release,prison,murder/manslaughter,74,1.0,0.08,0.07,0.075,
693,release,prison,murder/manslaughter,74,2.0,0.04,0.06,0.05,
694,release,prison,murder/manslaughter,74,3.0,0.04,0.05,0.045,
695,release,release_permanently,murder/manslaughter,74,3.0,,,0.83,
696,release,prison,Other,74,1.0,0.08,0.08,0.08,
697,release,prison,Other,74,2.0,0.04,0.11,0.075,
698,release,prison,Other,74,3.0,0.04,0.09,0.065,
699,release,release_permanently,Other,74,3.0,,,0.78,
700,release,prison,Robbery,74,1.0,0.08,0.1,0.09,
701,release,prison,Robbery,74,2.0,0.04,0.1,0.07,
702,release,prison,Robbery,74,3.0,0.04,0.08,0.06,
703,release,release_permanently,Robbery,74,3.0,,,0.78,
704,release,prison,Sexual offenses,74,1.0,0.08,0.13,0.105,
705,release,prison,Sexual offenses,74,2.0,0.04,0.09,0.065,
706,release,prison,Sexual offenses,74,3.0,0.04,0.06,0.05,
707,release,release_permanently,Sexual offenses,74,3.0,,,0.78,
708,release,prison,Theft/forgery/fraud,74,1.0,0.08,0.08,0.08,
709,release,prison,Theft/forgery/fraud,74,2.0,0.04,0.11,0.075,
710,release,prison,Theft/forgery/fraud,74,3.0,0.04,0.08,0.06,
711,release,release_permanently,Theft/forgery/fraud,74,3.0,,,0.785,
712,release,prison,Violent personal,74,1.0,0.08,0.11,0.095,
713,release,prison,Violent personal,74,2.0,0.04,0.08,0.06,
714,release,prison,Violent personal,74,3.0,0.04,0.07,0.055,
715,release,release_permanently,Violent personal,74,3.0,,,0.79,
716,release,prison,Weapons,74,1.0,0.08,0.08,0.08,
717,release,prison,Weapons,74,2.0,0.04,0.11,0.075,
718,release,prison,Weapons,74,3.0,0.04,0.09,0.065,
719,release,release_permanently,Weapons,74,3.0,,,0.78,
720,release,prison,Burglary,75,1.0,0.08,0.1,0.09,
721,release,prison,Burglary,75,2.0,0.04,0.11,0.075,
722,release,prison,Burglary,75,3.0,0.04,0.08,0.06,
723,release,release_permanently,Burglary,75,3.0,,,0.775,
724,release,prison,Drug offenses,75,1.0,0.08,0.05,0.065,
725,release,prison,Drug offenses,75,2.0,0.04,0.07,0.055,
726,release,prison,Drug offenses,75,3.0,0.04,0.07,0.055,
727,release,release_permanently,Drug offenses,75,3.0,,,0.825,
728,release,prison,murder/manslaughter,75,1.0,0.08,0.07,0.075,
729,release,prison,murder/manslaughter,75,2.0,0.04,0.06,0.05,
730,release,prison,murder/manslaughter,75,3.0,0.04,0.05,0.045,
731,release,release_permanently,murder/manslaughter,75,3.0,,,0.83,
732,release,prison,Other,75,1.0,0.08,0.08,0.08,
733,release,prison,Other,75,2.0,0.04,0.11,0.075,
734,release,prison,Other,75,3.0,0.04,0.09,0.065,
735,release,release_permanently,Other,75,3.0,,,0.78,
736,release,prison,Robbery,75,1.0,0.08,0.1,0.09,
737,release,prison,Robbery,75,2.0,0.04,0.1,0.07,
738,release,prison,Robbery,75,3.0,0.04,0.08,0.06,
739,release,release_permanently,Robbery,75,3.0,,,0.78,
740,release,prison,Sexual offenses,75,1.0,0.08,0.13,0.105,
741,release,prison,Sexual offenses,75,2.0,0.04,0.09,0.065,
742,release,prison,Sexual offenses,75,3.0,0.04,0.06,0.05,
743,release,release_permanently,Sexual offenses,75,3.0,,,0.78,
744,release,prison,Theft/forgery/fraud,75,1.0,0.08,0.08,0.08,
745,release,prison,Theft/forgery/fraud,75,2.0,0.04,0.11,0.075,
746,release,prison,Theft/forgery/fraud,75,3.0,0.04,0.08,0.06,
747,release,release_permanently,Theft/forgery/fraud,75,3.0,,,0.785,
