fips,year,population
22089,2010,35960
22091,2010,7331
22093,2010,14604
22095,2010,30865
22097,2010,53081
22099,2010,34755
22101,2010,36151
22103,2010,154967
22105,2010,82368
22107,2010,3225
22109,2010,74840
22111,2010,14639
22113,2010,37570
22115,2010,35238
22117,2010,30475
22119,2010,26315
22121,2010,16384
22123,2010,7267
22125,2010,11878
22127,2010,10213
23001,2010,72405
23003,2010,46616
23005,2010,193214
23007,2010,20691
23009,2010,36309
23011,2010,82641
23013,2010,25780
23015,2010,21781
23017,2010,38248
23019,2010,106878
23021,2010,11303
23023,2010,23376
23025,2010,34650
23027,2010,25905
23029,2010,21148
23031,2010,132836
24001,2010,50572
24003,2010,371214
24005,2010,543874
24009,2010,60711
24011,2010,21736
24013,2010,112361
24015,2010,68544
24017,2010,101823
24019,2010,21106
24021,2010,159729
24023,2010,19680
24025,2010,165289
24027,2010,198664
24029,2010,12868
24031,2010,662127
24033,2010,614527
24035,2010,31402
24037,2010,71938
24039,2010,19147
24041,2010,22833
24043,2010,98628
24045,2010,67693
24047,2010,31892
24510,2010,437320
25001,2010,132222
25003,2010,86677
25005,2010,371602
25007,2010,11240
25009,2010,499921
25011,2010,49105
25013,2010,309942
25015,2010,117825
25017,2010,1045792
25019,2010,7124
25021,2010,450346
25023,2010,329327
25025,2010,544829
25027,2010,546295
26001,2010,6231
26003,2010,6280
26005,2010,73094
26007,2010,18824
26009,2010,14328
26011,2010,10129
26013,2010,5885
26015,2010,38734
26017,2010,70620
26019,2010,10856
26021,2010,101214
26023,2010,29615
26025,2010,88992
26027,2010,33918
26029,2010,16431
26031,2010,16228
26033,2010,26594
26035,2010,19587
26037,2010,50582
26039,2010,8888
26041,2010,23626
26043,2010,16783
26045,2010,72328
26047,2010,21290
26049,2010,280170
26051,2010,15681
26053,2010,10628
26055,2010,58243
26057,2010,28755
26059,2010,30269
26061,2010,24874
26063,2010,20405
26065,2010,203081
26067,2010,43797
26069,2010,15442
26071,2010,7086
26073,2010,52956
26075,2010,107007
26077,2010,172594
26079,2010,11103
26081,2010,404427
26083,2010,1316
26085,2010,7103
26087,2010,59483
26089,2010,13349
26091,2010,66422
26093,2010,122206
26095,2010,4463
26097,2010,7002
26099,2010,563282
26101,2010,15656
26103,2010,46993
26105,2010,18189
26107,2010,29265
26109,2010,15304
26111,2010,55363
26113,2010,9383
26115,2010,101959
26117,2010,41947
26119,2010,5795
26121,2010,113674
26123,2010,31123
26125,2010,814541
26127,2010,16637
26129,2010,13365
26131,2010,4133
26133,2010,14834
26135,2010,5205
26137,2010,15550
26139,2010,176251
26141,2010,7956
26143,2010,14507
26145,2010,131427
26147,2010,108057
26149,2010,39140
26151,2010,27303
26153,2010,5324
26155,2010,46799
26157,2010,36489
26159,2010,49924
26161,2010,251208
26163,2010,1212888
26165,2010,20953
27001,2010,9392
27003,2010,228587
