fips,year,population
24047,2010,51500
24510,2010,620915
23001,2010,107708
23003,2010,71699
23005,2010,281474
23007,2010,30719
23009,2010,54350
23011,2010,122076
23013,2010,39730
23015,2010,34385
23017,2010,57779
23019,2010,153861
23021,2010,17550
23023,2010,35228
23025,2010,52216
23027,2010,38818
23029,2010,32827
23031,2010,197209
26001,2010,10879
26003,2010,9580
26005,2010,111523
26007,2010,29510
26009,2010,23491
26011,2010,15852
26013,2010,8861
26015,2010,59095
26017,2010,107679
26019,2010,17505
26021,2010,156737
26023,2010,45174
26025,2010,135951
26027,2010,52247
26029,2010,25935
26031,2010,26062
26033,2010,38616
26035,2010,31006
26037,2010,75403
26039,2010,14055
26041,2010,37047
26043,2010,26158
26045,2010,107746
26047,2010,32650
26049,2010,424953
26051,2010,25735
26053,2010,16396
26055,2010,86971
26057,2010,42432
26059,2010,46648
26061,2010,36730
26063,2010,33083
26065,2010,281116
26067,2010,63842
26069,2010,25839
26071,2010,11810
26073,2010,70294
26075,2010,160109
26077,2010,250751
26079,2010,17146
26081,2010,602975
26083,2010,2169
26085,2010,11515
26087,2010,88210
26089,2010,21719
26091,2010,99640
26093,2010,181069
26095,2010,6601
26097,2010,11108
26099,2010,841352
26101,2010,24588
26103,2010,67078
26105,2010,28717
26107,2010,42853
26109,2010,23968
26111,2010,83651
26113,2010,14816
26115,2010,151936
26117,2010,63315
26119,2010,9777
26121,2010,171913
26123,2010,48373
26125,2010,1203106
26127,2010,26503
26129,2010,21605
26131,2010,6776
26133,2010,23502
26135,2010,8601
26137,2010,24151
26139,2010,264130
26141,2010,13317
26143,2010,24442
26145,2010,199862
26147,2010,162690
26149,2010,61288
26151,2010,43087
26153,2010,8472
26155,2010,70634
26157,2010,55698
26159,2010,76149
26161,2010,345717
26163,2010,1815081
26165,2010,32739
27001,2010,16210
27003,2010,331437
27005,2010,32551
27007,2010,44572
27009,2010,38462
27011,2010,5273
27013,2010,64086
27015,2010,25843
27017,2010,35416
27019,2010,91401
27021,2010,28652
27023,2010,12445
27025,2010,53904
27027,2010,59147
27029,2010,8705
27031,2010,5161
27033,2010,11715
27035,2010,62609
27037,2010,399211
27039,2010,20154
27041,2010,35989
27043,2010,14480
27045,2010,20862
27047,2010,31204
27049,2010,46210
27051,2010,6002
27053,2010,1154188
27055,2010,19025
27057,2010,20427
27059,2010,37857
27061,2010,45037
27063,2010,10271
27065,2010,16216
27067,2010,42233
27069,2010,4553
27071,2010,13315
27073,2010,7245
27075,2010,10854
27077,2010,4035
27079,2010,27731
27081,2010,5885
27083,2010,25849
27085,2010,36589
27087,2010,5440
27089,2010,9441
27091,2010,20805
27093,2010,23329
27095,2010,26078
27097,2010,33244
27099,2010,39212
27101,2010,8697
27103,2010,32758
27105,2010,21425
27107,2010,6833
27109,2010,144534
27111,2010,57288
27113,2010,13968
27115,2010,29717
27117,2010,9606
27119,2010,31639
27121,2010,10974
27123,2010,509387
27125,2010,4079
27127,2010,16079
27129,2010,15684
27131,2010,64243
27133,2010,9658
27135,2010,15558
27137,2010,200138
27139,2010,130506
27141,2010,88798
27143,2010,15256
27145,2010,150756
27147,2010,36497
27149,2010,9705
27151,2010,9754
27153,2010,24898
27155,2010,3534
27157,2010,21672
27159,2010,13816
27161,2010,19145
27163,2010,238930
27165,2010,11194
27167,2010,6591
27169,2010,51435
27171,2010,125093
27173,2010,10423
29001,2010,25625
29003,2010,17344
29005,2010,5656
29007,2010,25453
29009,2010,35555
29011,2010,12383
29013,2010,17028
29015,2010,19096
29017,2010,12342
29019,2010,163203
29021,2010,89072
29023,2010,42786
29025,2010,9428
29027,2010,44310
29029,2010,44078
29031,2010,75899
29033,2010,9282
29035,2010,6294
29037,2010,99754
29039,2010,13969
29041,2010,7831
29043,2010,77841
29045,2010,7135
29047,2010,222650
29049,2010,20740
29051,2010,76150
29053,2010,17603
29055,2010,24630
29057,2010,7839
29059,2010,16722
29061,2010,8449
29063,2010,12895
29065,2010,15740
29067,2010,13651
29069,2010,31950
29071,2010,101428
29073,2010,15202
29075,2010,6750
29077,2010,275309
29079,2010,10253
29081,2010,8967
29083,2010,22264
29085,2010,9646
29087,2010,4915
29089,2010,10141
29091,2010,40552
29093,2010,10592
29095,2010,674845
29097,2010,117656
29099,2010,219128
29101,2010,52686
29103,2010,4125
29105,2010,35700
29107,2010,33381
29109,2010,38591
29111,2010,10210
29113,2010,52674
29115,2010,12774
29117,2010,15128
29119,2010,23072
29121,2010,15593
29123,2010,12197
29125,2010,9162
29127,2010,28787
29129,2010,3770
