file_id,region_code,file_tag,normalized_file_name,discovery_time,processed_time,update_datetime,datetimes_contained_upper_bound_inclusive,raw_data_instance,is_invalidated,file_processed_time,file_discovery_time
93590,US_CO,eomis_commitmentsummary,unprocessed_2022-05-03T05:30:40:885720_raw_eomis_commitmentsummary.csv,2022-05-03T14:25:11.066044,2022-05-03T14:27:50.386747,2022-05-03T05:30:40.885720,2022-05-03T05:30:40.885720,PRIMARY,False,2022-05-03T14:27:50.386747,2022-05-03T14:25:11.066044
93892,US_CO,eomis_commitmentsummary,unprocessed_2022-05-04T05:31:15:118141_raw_eomis_commitmentsummary.csv,2022-05-04T14:45:40.951891,2022-05-04T14:48:10.962066,2022-05-04T05:31:15.118141,2022-05-04T05:31:15.118141,PRIMARY,False,2022-05-04T14:48:10.962066,2022-05-04T14:45:40.951891
115500,US_CO,eomis_commitmentsummary,unprocessed_2022-05-10T05:45:16:880902_raw_eomis_commitmentsummary.csv,2022-05-10T18:42:37.047514,2022-05-10T18:44:53.822407,2022-05-10T05:45:16.880902,2022-05-10T05:45:16.880902,PRIMARY,False,2022-05-10T18:44:53.822407,2022-05-10T18:42:37.047514
116301,US_CO,eomis_commitmentsummary,unprocessed_2022-05-13T05:32:54:779176_raw_eomis_commitmentsummary.csv,2022-05-13T17:54:06.699303,2022-05-13T17:55:08.888355,2022-05-13T05:32:54.779176,2022-05-13T05:32:54.779176,PRIMARY,False,2022-05-13T17:55:08.888355,2022-05-13T17:54:06.699303
119174,US_CO,eomis_commitmentsummary,unprocessed_2022-05-18T05:42:39:615356_raw_eomis_commitmentsummary.csv,2022-05-18T19:29:08.294240,2022-05-18T19:31:17.123794,2022-05-18T05:42:39.615356,2022-05-18T05:42:39.615356,PRIMARY,False,2022-05-18T19:31:17.123794,2022-05-18T19:29:08.294240
119412,US_CO,eomis_commitmentsummary,unprocessed_2022-05-19T05:51:43:286317_raw_eomis_commitmentsummary.csv,2022-05-19T15:07:48.905197,2022-05-19T15:09:05.696286,2022-05-19T05:51:43.286317,2022-05-19T05:51:43.286317,PRIMARY,False,2022-05-19T15:09:05.696286,2022-05-19T15:07:48.905197
122036,US_CO,eomis_commitmentsummary,unprocessed_2022-05-27T05:51:50:316664_raw_eomis_commitmentsummary.csv,2022-05-27T14:18:24.629086,2022-05-27T14:19:35.932060,2022-05-27T05:51:50.316664,2022-05-27T05:51:50.316664,PRIMARY,False,2022-05-27T14:19:35.932060,2022-05-27T14:18:24.629086
128189,US_CO,eomis_commitmentsummary,unprocessed_2022-06-13T06:52:23:820057_raw_eomis_commitmentsummary.csv,2022-06-13T16:21:34.916190,2022-06-13T16:23:13.289692,2022-06-13T06:52:23.820057,2022-06-13T06:52:23.820057,PRIMARY,False,2022-06-13T16:23:13.289692,2022-06-13T16:21:34.916190
130367,US_CO,eomis_commitmentsummary,unprocessed_2022-06-22T06:45:11:417577_raw_eomis_commitmentsummary.csv,2022-06-22T15:58:29.703849,2022-06-22T15:59:50.376050,2022-06-22T06:45:11.417577,2022-06-22T06:45:11.417577,PRIMARY,False,2022-06-22T15:59:50.376050,2022-06-22T15:58:29.703849
90736,US_CO,eomis_externalmovement,unprocessed_2022-04-26T16:39:57:197984_raw_eomis_externalmovement.csv,2022-04-27T21:58:52.077678,2022-04-27T22:06:39.523835,2022-04-26T16:39:57.197984,2022-04-26T16:39:57.197984,PRIMARY,False,2022-04-27T22:06:39.523835,2022-04-27T21:58:52.077678
