gcs_file_id,file_id,region_code,file_tag,normalized_file_name,update_datetime,raw_data_instance,file_discovery_time
93894,93894,US_CO,eomis_inmateprofile,unprocessed_2022-05-04T05:32:27:114575_raw_eomis_inmateprofile.csv,2022-05-04T05:32:27.114575,PRIMARY,2022-05-04T14:45:40.986941
115502,115502,US_CO,eomis_inmateprofile,unprocessed_2022-05-10T05:46:30:437318_raw_eomis_inmateprofile.csv,2022-05-10T05:46:30.437318,PRIMARY,2022-05-10T18:42:37.081365
116305,116305,US_CO,eomis_inmateprofile,unprocessed_2022-05-13T05:34:11:398939_raw_eomis_inmateprofile.csv,2022-05-13T05:34:11.398939,PRIMARY,2022-05-13T17:54:06.758343
119178,119178,US_CO,eomis_inmateprofile,unprocessed_2022-05-18T05:44:05:325921_raw_eomis_inmateprofile.csv,2022-05-18T05:44:05.325921,PRIMARY,2022-05-18T19:29:08.357863
119416,119416,US_CO,eomis_inmateprofile,unprocessed_2022-05-19T05:52:59:204840_raw_eomis_inmateprofile.csv,2022-05-19T05:52:59.204840,PRIMARY,2022-05-19T15:07:48.966665
122040,122040,US_CO,eomis_inmateprofile,unprocessed_2022-05-27T05:53:09:271730_raw_eomis_inmateprofile.csv,2022-05-27T05:53:09.271730,PRIMARY,2022-05-27T14:18:24.686230
128193,128193,US_CO,eomis_inmateprofile,unprocessed_2022-06-13T06:54:02:635048_raw_eomis_inmateprofile.csv,2022-06-13T06:54:02.635048,PRIMARY,2022-06-13T16:21:34.975120
130371,130371,US_CO,eomis_inmateprofile,unprocessed_2022-06-22T06:46:44:605469_raw_eomis_inmateprofile.csv,2022-06-22T06:46:44.605469,PRIMARY,2022-06-22T15:58:29.781371
90738,90738,US_CO,eomis_offendernamealias,unprocessed_2022-04-26T16:40:07:902542_raw_eomis_offendernamealias.csv,2022-04-26T16:40:07.902542,PRIMARY,2022-04-27T21:58:52.109562
90750,90750,US_CO,eomis_offendernamealias,unprocessed_2022-04-27T14:28:59:443638_raw_eomis_offendernamealias.csv,2022-04-27T14:28:59.443638,PRIMARY,2022-04-27T22:12:24.351619
92246,92246,US_CO,eomis_offendernamealias,unprocessed_2022-04-29T14:54:40:082296_raw_eomis_offendernamealias.csv,2022-04-29T14:54:40.082296,PRIMARY,2022-04-29T20:49:46.703854
92897,92897,US_CO,eomis_offendernamealias,unprocessed_2022-05-02T05:34:17:981666_raw_eomis_offendernamealias.csv,2022-05-02T05:34:17.981666,PRIMARY,2022-05-02T14:56:12.041429
