,compartment,year,policy_total_population,control_total_population
75,prison,2024.249999947,45943.95420981743,48605.88863277429
76,prison,2024.33333328,45974.512952147204,48648.43293881314
77,prison,2024.416666613,45973.146085312146,48690.44817010649
78,prison,2024.499999946,46000.756548268364,48735.6800985577
79,prison,2024.583333279,46073.102180103786,48780.38157719551
80,prison,2024.666666612,46142.11065809166,48824.55445831234
81,prison,2024.749999945,46124.02413426203,48864.53370429048
82,prison,2024.833333278,46094.61451041744,48903.922813326746
83,prison,2024.916666611,46064.803125972336,48942.72433119543
84,prison,2024.999999944,46097.106150083084,48971.1207862282
85,prison,2025.083333277,46130.377897459526,48999.01151124343
86,prison,2025.16666661,46164.63017108717,49026.39910322406
87,prison,2025.249999943,46187.26822074887,49052.542080285944
88,prison,2025.333333276,46187.65477428139,49078.18649300416
89,prison,2025.416666609,46153.69730699472,49103.33452201059
90,prison,2025.499999942,46162.67191345661,49139.15965075753
91,prison,2025.583333275,46220.80584104061,49174.488184154994
92,prison,2025.666666608,46277.85125688348,49209.32185772668
93,prison,2025.749999941,46268.4296892434,49231.80753925622
94,prison,2025.833333274,46255.08588632254,49253.82174940113
95,prison,2025.916666607,46241.67732428475,49275.36616584341
96,prison,2025.99999994,46260.99390374922,49290.07355220536
97,prison,2026.083333273,46281.660318417555,49304.36874051543
98,prison,2026.166666606,46303.85228084983,49318.25377569807
99,prison,2026.249999939,46309.79903256382,49330.60987834697
100,prison,2026.333333272,46289.63634774961,49342.55860273695
101,prison,2026.416666605,46242.100831803145,49354.10165506392
102,prison,2026.499999938,46241.70392804367,49378.40074339196
103,prison,2026.583333271,46281.40955810354,49402.29277513749
104,prison,2026.666666604,46320.52758792364,49425.778671850036
105,prison,2026.749999937,46313.17707055221,49439.69513119336
106,prison,2026.83333327,46303.317115073325,49453.24083704706
107,prison,2026.916666603,46293.60332739158,49466.41686772725
108,probation,2017.999999972,33582.94010193407,33582.94010193407
109,probation,2018.083333305,32739.91194273192,32739.91194273192
110,probation,2018.166666638,31897.42093213094,31897.42093213094
111,probation,2018.249999971,31055.44086550248,31055.44086550248
112,probation,2018.333333304,30214.001035521283,30214.001035521283
113,probation,2018.416666637,29373.10294559266,29373.10294559266
114,probation,2018.49999997,28529.929496109304,28529.929496109304
115,probation,2018.583333303,27687.210428885184,27687.210428885184
116,probation,2018.666666636,26844.9467540917,26844.9467540917
117,probation,2018.749999969,26040.851399791383,26040.851399791383
118,probation,2018.833333302,25237.215730915937,25237.215730915937
119,probation,2018.916666635,24434.039973562798,24434.039973562798
120,probation,2018.999999968,23870.665147308828,23870.665147308828
121,probation,2019.083333301,23307.716927389145,23307.716927389145
122,probation,2019.166666634,22745.195081822338,22745.195081822338
123,probation,2019.249999967,22183.072230949012,22183.072230949012
124,probation,2019.3333333,21621.37297769102,21621.37297769102
125,probation,2019.416666633,21060.097337942785,21060.097337942785
126,probation,2019.499999966,20498.962565930287,20498.962565930287
127,probation,2019.583333299,19938.174545852267,19938.174545852267
128,probation,2019.666666632,19377.733210901824,19377.733210901824
129,probation,2019.749999965,19600.821525201605,19600.821525201605
130,probation,2019.833333298,19823.960867966056,19823.960867966056
131,probation,2019.916666631,20047.15102457869,20047.15102457869
132,probation,2019.999999964,20451.856526751373,20451.856526751373
133,probation,2020.083333297,20856.575685589123,20856.575685589123
134,probation,2020.16666663,21261.308176995906,21261.308176995906
135,probation,2020.249999963,21665.956706516336,21665.956706516336
136,probation,2020.333333296,22070.61459659441,22070.61459659441
137,probation,2020.416666629,22475.28175893703,22475.28175893703
138,probation,2020.499999962,22883.41623532094,22883.41623532094
139,probation,2020.583333295,23291.542091889103,23291.542091889103
140,probation,2020.666666628,23699.659230307363,23699.659230307363
141,probation,2020.749999961,23818.360055944697,23818.360055944697
142,probation,2020.833333294,23937.112745160324,23937.112745160324
143,probation,2020.916666627,24055.91760673039,24055.91760673039
144,probation,2020.99999996,24259.666191197033,24259.666191197033
