,offense_code,compartment,compartment_duration,total_population,outflow_to,offense_group,time_step
5347,NAR3087,prison,16.0,2,release,,
5348,NAR3087,prison,18.0,2,release,,
5349,NAR3087,prison,19.02737850833333,1,release,,
5350,NAR3087,prison,20.0,9,release,,
5351,NAR3087,prison,21.0,1,release,,
5352,NAR3087,prison,22.0,2,release,,
5353,NAR3087,prison,24.0,1,release,,
5354,NAR3087,prison,25.0,3,release,,
5355,NAR3087,prison,25.25,1,release,,
5356,NAR3087,prison,27.0,1,release,,
5357,NAR3087,prison,30.0,3,release,,
5358,NAR3087,prison,30.5,1,release,,
5359,NAR3087,prison,31.0,1,release,,
5360,NAR3087,prison,32.0,1,release,,
5361,NAR3087,prison,40.0,2,release,,
5362,NAR3087,prison,45.5,1,release,,
5363,NAR3087,prison,50.0,2,release,,
5364,NAR3087,prison,50.0,1,release,,
5365,NAR3087,prison,50.0,1,release,,
5366,NAR3087,prison,50.0,1,release,,
7511,WPN5296,jail,0.2464065708333333,1,release,,
7512,WPN5296,jail,0.5,1,release,,
7513,WPN5296,prison,0.5833333333333334,3,release,,
7514,WPN5296,prison,0.75,1,release,,
7515,WPN5296,prison,1.0,5,release,,
7516,WPN5296,prison,1.5,3,release,,
7517,WPN5296,prison,1.75,1,release,,
7518,WPN5296,prison,1.8333333333333333,1,release,,
7519,WPN5296,prison,2.0,22,release,,
7520,WPN5296,prison,2.1666666666666665,1,release,,
7521,WPN5296,prison,2.5,4,release,,
7522,WPN5296,prison,3.0,3,release,,
7523,WPN5296,prison,3.4166666666666665,1,release,,
7524,WPN5296,prison,3.5,1,release,,
7525,WPN5296,prison,5.0,145,release,,
7526,WPN5296,prison,5.054757015833333,1,release,,
7527,WPN5296,prison,5.082135523333333,1,release,,
7528,WPN5296,prison,5.5,1,release,,
7529,WPN5296,prison,6.0,2,release,,
7530,WPN5296,prison,6.082135523333334,1,release,,
7531,WPN5296,prison,7.0,2,release,,
7532,WPN5296,prison,10.0,2,release,,
7533,WPN5296,prison,15.0,1,release,,
7534,WPN5297,jail,0.04106776183333333,1,release,,
7535,WPN5297,jail,0.07939767283333334,1,release,,
7536,WPN5297,jail,0.08213552358333333,2,release,,
7537,WPN5297,jail,0.13141683775000002,1,release,,
7538,WPN5297,jail,0.25,4,release,,
7539,WPN5297,jail,0.3333333333333333,3,release,,
7540,WPN5297,jail,0.5,2,release,,
7541,WPN5297,prison,0.5833333333333334,11,release,,
7542,WPN5297,prison,0.5888090349166667,1,release,,
7543,WPN5297,prison,0.6666666666666666,7,release,,
7544,WPN5297,prison,0.8333333333333334,3,release,,
7545,WPN5297,prison,0.9166666666666666,1,release,,
7546,WPN5297,prison,1.0,9,release,,
7547,WPN5297,prison,1.0821355233333334,2,release,,
7548,WPN5297,prison,1.0833333333333333,1,release,,
7549,WPN5297,prison,1.1666666666666667,2,release,,
7550,WPN5297,prison,1.3333333333333333,1,release,,
7551,WPN5297,prison,1.5,7,release,,
7552,WPN5297,prison,1.75,1,release,,
7553,WPN5297,prison,2.0,408,release,,
7554,WPN5297,prison,2.0054757016666667,1,release,,
7555,WPN5297,prison,2.0136892541666667,1,release,,
