,compartment,outflow_to,tis_percentage,race,compartment_duration,total_population,time_step
16,pretrial,prison,100%,non-white,,13.416666666666666,16.0
17,pretrial,prison,100%,non-white,,13.416666666666666,17.0
18,pretrial,prison,100%,non-white,,13.416666666666666,18.0
19,pretrial,prison,100%,non-white,,13.416666666666666,19.0
20,pretrial,prison,100%,non-white,,13.416666666666666,20.0
21,pretrial,prison,100%,non-white,,13.416666666666666,21.0
22,pretrial,prison,100%,non-white,,13.416666666666666,22.0
23,pretrial,prison,100%,non-white,,13.416666666666666,23.0
24,pretrial,prison,85%,white,,22.333333333333332,12.0
25,pretrial,prison,85%,white,,22.333333333333332,13.0
26,pretrial,prison,85%,white,,22.333333333333332,14.0
27,pretrial,prison,85%,white,,22.333333333333332,15.0
28,pretrial,prison,85%,white,,22.333333333333332,16.0
29,pretrial,prison,85%,white,,22.333333333333332,17.0
30,pretrial,prison,85%,white,,22.333333333333332,18.0
31,pretrial,prison,85%,white,,22.333333333333332,19.0
32,pretrial,prison,85%,white,,22.333333333333332,20.0
33,pretrial,prison,85%,white,,22.333333333333332,21.0
34,pretrial,prison,85%,white,,22.333333333333332,22.0
35,pretrial,prison,85%,white,,22.333333333333332,23.0
36,pretrial,prison,85%,non-white,,66.41666666666667,12.0
37,pretrial,prison,85%,non-white,,66.41666666666667,13.0
38,pretrial,prison,85%,non-white,,66.41666666666667,14.0
39,pretrial,prison,85%,non-white,,66.41666666666667,15.0
40,pretrial,prison,85%,non-white,,66.41666666666667,16.0
41,pretrial,prison,85%,non-white,,66.41666666666667,17.0
42,pretrial,prison,85%,non-white,,66.41666666666667,18.0
43,pretrial,prison,85%,non-white,,66.41666666666667,19.0
44,pretrial,prison,85%,non-white,,66.41666666666667,20.0
45,pretrial,prison,85%,non-white,,66.41666666666667,21.0
46,pretrial,prison,85%,non-white,,66.41666666666667,22.0
47,pretrial,prison,85%,non-white,,66.41666666666667,23.0
48,pretrial,prison,75%,white,,2.0,12.0
49,pretrial,prison,75%,white,,2.0,13.0
