,compartment,outflow_to,tis_percentage,compartment_duration,total_population,time_step
0,pretrial,prison,50%,,3.25,72.0
1,pretrial,prison,50%,,3.25,73.0
2,pretrial,prison,50%,,3.25,74.0
3,pretrial,prison,50%,,3.25,75.0
4,pretrial,prison,50%,,3.25,76.0
5,pretrial,prison,50%,,3.25,77.0
6,pretrial,prison,50%,,3.25,78.0
7,pretrial,prison,50%,,3.25,79.0
8,pretrial,prison,50%,,3.25,80.0
9,pretrial,prison,50%,,3.25,81.0
10,pretrial,prison,50%,,3.25,82.0
11,pretrial,prison,50%,,3.25,83.0
12,pretrial,prison,85%,,5.583333333333333,72.0
13,pretrial,prison,85%,,5.583333333333333,73.0
14,pretrial,prison,85%,,5.583333333333333,74.0
15,pretrial,prison,85%,,5.583333333333333,75.0
16,pretrial,prison,85%,,5.583333333333333,76.0
17,pretrial,prison,85%,,5.583333333333333,77.0
18,pretrial,prison,85%,,5.583333333333333,78.0
19,pretrial,prison,85%,,5.583333333333333,79.0
20,pretrial,prison,85%,,5.583333333333333,80.0
21,pretrial,prison,85%,,5.583333333333333,81.0
22,pretrial,prison,85%,,5.583333333333333,82.0
23,pretrial,prison,85%,,5.583333333333333,83.0
24,pretrial,prison,100%,,10.916666666666666,72.0
25,pretrial,prison,100%,,10.916666666666666,73.0
26,pretrial,prison,100%,,10.916666666666666,74.0
27,pretrial,prison,100%,,10.916666666666666,75.0
28,pretrial,prison,100%,,10.916666666666666,76.0
29,pretrial,prison,100%,,10.916666666666666,77.0
30,pretrial,prison,100%,,10.916666666666666,78.0
31,pretrial,prison,100%,,10.916666666666666,79.0
32,pretrial,prison,100%,,10.916666666666666,80.0
33,pretrial,prison,100%,,10.916666666666666,81.0
34,pretrial,prison,100%,,10.916666666666666,82.0
35,pretrial,prison,100%,,10.916666666666666,83.0
0,prison,,50%,,2656.0,0.0
1,prison,,50%,,2656.0,1.0
2,prison,,50%,,2656.0,2.0
3,prison,,50%,,2656.0,3.0
4,prison,,50%,,2656.0,4.0
5,prison,,50%,,2656.0,5.0
