,compartment,outflow_to,race,compartment_duration,total_population,time_step
18,pretrial,prison,non-white,,19.333333333333332,54
19,pretrial,prison,non-white,,19.333333333333332,55
20,pretrial,prison,non-white,,19.333333333333332,56
21,pretrial,prison,non-white,,19.333333333333332,57
22,pretrial,prison,non-white,,19.333333333333332,58
23,pretrial,prison,non-white,,19.333333333333332,59
0,pretrial,prison,white,,10.333333333333334,60
1,pretrial,prison,white,,10.333333333333334,61
2,pretrial,prison,white,,10.333333333333334,62
3,pretrial,prison,white,,10.333333333333334,63
4,pretrial,prison,white,,10.333333333333334,64
5,pretrial,prison,white,,10.333333333333334,65
6,pretrial,prison,white,,10.333333333333334,66
7,pretrial,prison,white,,10.333333333333334,67
8,pretrial,prison,white,,10.333333333333334,68
9,pretrial,prison,white,,10.333333333333334,69
10,pretrial,prison,white,,10.333333333333334,70
11,pretrial,prison,white,,10.333333333333334,71
12,pretrial,prison,non-white,,17.5,60
13,pretrial,prison,non-white,,17.5,61
14,pretrial,prison,non-white,,17.5,62
15,pretrial,prison,non-white,,17.5,63
16,pretrial,prison,non-white,,17.5,64
17,pretrial,prison,non-white,,17.5,65
18,pretrial,prison,non-white,,17.5,66
19,pretrial,prison,non-white,,17.5,67
20,pretrial,prison,non-white,,17.5,68
21,pretrial,prison,non-white,,17.5,69
22,pretrial,prison,non-white,,17.5,70
23,pretrial,prison,non-white,,17.5,71
0,pretrial,prison,white,,9.583333333333334,72
1,pretrial,prison,white,,9.583333333333334,73
2,pretrial,prison,white,,9.583333333333334,74
3,pretrial,prison,white,,9.583333333333334,75
4,pretrial,prison,white,,9.583333333333334,76
5,pretrial,prison,white,,9.583333333333334,77
6,pretrial,prison,white,,9.583333333333334,78
7,pretrial,prison,white,,9.583333333333334,79
8,pretrial,prison,white,,9.583333333333334,80
9,pretrial,prison,white,,9.583333333333334,81
10,pretrial,prison,white,,9.583333333333334,82
11,pretrial,prison,white,,9.583333333333334,83
12,pretrial,prison,non-white,,17.25,72
13,pretrial,prison,non-white,,17.25,73
14,pretrial,prison,non-white,,17.25,74
15,pretrial,prison,non-white,,17.25,75
16,pretrial,prison,non-white,,17.25,76
17,pretrial,prison,non-white,,17.25,77
18,pretrial,prison,non-white,,17.25,78
19,pretrial,prison,non-white,,17.25,79
20,pretrial,prison,non-white,,17.25,80
21,pretrial,prison,non-white,,17.25,81
22,pretrial,prison,non-white,,17.25,82
23,pretrial,prison,non-white,,17.25,83
0,pretrial,prison,white,,9.75,84
1,pretrial,prison,white,,9.75,85
2,pretrial,prison,white,,9.75,86
3,pretrial,prison,white,,9.75,87
4,pretrial,prison,white,,9.75,88
5,pretrial,prison,white,,9.75,89
6,pretrial,prison,white,,9.75,90
7,pretrial,prison,white,,9.75,91
8,pretrial,prison,white,,9.75,92
9,pretrial,prison,white,,9.75,93
10,pretrial,prison,white,,9.75,94
11,pretrial,prison,white,,9.75,95
12,pretrial,prison,non-white,,15.5,84
13,pretrial,prison,non-white,,15.5,85
14,pretrial,prison,non-white,,15.5,86
15,pretrial,prison,non-white,,15.5,87
16,pretrial,prison,non-white,,15.5,88
17,pretrial,prison,non-white,,15.5,89
18,pretrial,prison,non-white,,15.5,90
19,pretrial,prison,non-white,,15.5,91
20,pretrial,prison,non-white,,15.5,92
21,pretrial,prison,non-white,,15.5,93
22,pretrial,prison,non-white,,15.5,94
23,pretrial,prison,non-white,,15.5,95
0,pretrial,prison,white,,9.416666666666666,96
1,pretrial,prison,white,,9.416666666666666,97
2,pretrial,prison,white,,9.416666666666666,98
3,pretrial,prison,white,,9.416666666666666,99
4,pretrial,prison,white,,9.416666666666666,100
5,pretrial,prison,white,,9.416666666666666,101
6,pretrial,prison,white,,9.416666666666666,102
7,pretrial,prison,white,,9.416666666666666,103
8,pretrial,prison,white,,9.416666666666666,104
9,pretrial,prison,white,,9.416666666666666,105
10,pretrial,prison,white,,9.416666666666666,106
11,pretrial,prison,white,,9.416666666666666,107
12,pretrial,prison,non-white,,14.666666666666666,96
13,pretrial,prison,non-white,,14.666666666666666,97
14,pretrial,prison,non-white,,14.666666666666666,98
15,pretrial,prison,non-white,,14.666666666666666,99
16,pretrial,prison,non-white,,14.666666666666666,100
17,pretrial,prison,non-white,,14.666666666666666,101
18,pretrial,prison,non-white,,14.666666666666666,102
19,pretrial,prison,non-white,,14.666666666666666,103
20,pretrial,prison,non-white,,14.666666666666666,104
21,pretrial,prison,non-white,,14.666666666666666,105
22,pretrial,prison,non-white,,14.666666666666666,106
23,pretrial,prison,non-white,,14.666666666666666,107
