statute_code,is_assaultive_misdemeanor,requires_so_registration,is_excluded_from_trs,is_excluded_from_parole_ed,is_excluded_from_probation_ed,is_owi_ouil
750.232A1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.232A3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.232A4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.233,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.234,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234A,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234A1B,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234A1C,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234A1D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
750.234B,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234B3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234B4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234B5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234C,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.234D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.234E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.234F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.235,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
750.235B1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.235B2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.236B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.237,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.237A1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.237A2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.237A4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.2373,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.2374,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.241,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.2411,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.277D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.316,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.316-AJ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.316-BJ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.316A,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.316B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.316C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.316D,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.317,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.317A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.321,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.321A,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
750.321B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.321C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.321E,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.327,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.328,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.329,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.329A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.335A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
