county_fips,geoid
22057,0500000US22057
22059,0500000US22059
22061,0500000US22061
22063,0500000US22063
22065,0500000US22065
22067,0500000US22067
22069,0500000US22069
22071,0500000US22071
22073,0500000US22073
22075,0500000US22075
22077,0500000US22077
22079,0500000US22079
22081,0500000US22081
22083,0500000US22083
22085,0500000US22085
22087,0500000US22087
22089,0500000US22089
22091,0500000US22091
22093,0500000US22093
22095,0500000US22095
22097,0500000US22097
22099,0500000US22099
22101,0500000US22101
22103,0500000US22103
22105,0500000US22105
22107,0500000US22107
22109,0500000US22109
22111,0500000US22111
22113,0500000US22113
22115,0500000US22115
22117,0500000US22117
22119,0500000US22119
22121,0500000US22121
22123,0500000US22123
22125,0500000US22125
22127,0500000US22127
23001,0500000US23001
23003,0500000US23003
23005,0500000US23005
23007,0500000US23007
23009,0500000US23009
23011,0500000US23011
23013,0500000US23013
23015,0500000US23015
23017,0500000US23017
23019,0500000US23019
23021,0500000US23021
23023,0500000US23023
23025,0500000US23025
23027,0500000US23027
23029,0500000US23029
23031,0500000US23031
24001,0500000US24001
24003,0500000US24003
24005,0500000US24005
24009,0500000US24009
24011,0500000US24011
24013,0500000US24013
24015,0500000US24015
24017,0500000US24017
24019,0500000US24019
24021,0500000US24021
24023,0500000US24023
24025,0500000US24025
24027,0500000US24027
24029,0500000US24029
24031,0500000US24031
24033,0500000US24033
24035,0500000US24035
24037,0500000US24037
24039,0500000US24039
24041,0500000US24041
24043,0500000US24043
24045,0500000US24045
24047,0500000US24047
24510,0500000US24510
25001,0500000US25001
25003,0500000US25003
25005,0500000US25005
25007,0500000US25007
25009,0500000US25009
25011,0500000US25011
25013,0500000US25013
25015,0500000US25015
25017,0500000US25017
25019,0500000US25019
25021,0500000US25021
25023,0500000US25023
25025,0500000US25025
25027,0500000US25027
26001,0500000US26001
26003,0500000US26003
26005,0500000US26005
26007,0500000US26007
26009,0500000US26009
26011,0500000US26011
26013,0500000US26013
26015,0500000US26015
26017,0500000US26017
26019,0500000US26019
26021,0500000US26021
26023,0500000US26023
26025,0500000US26025
26027,0500000US26027
26029,0500000US26029
26031,0500000US26031
26033,0500000US26033
26035,0500000US26035
26037,0500000US26037
26039,0500000US26039
26041,0500000US26041
26043,0500000US26043
26045,0500000US26045
26047,0500000US26047
26049,0500000US26049
26051,0500000US26051
26053,0500000US26053
26055,0500000US26055
26057,0500000US26057
26059,0500000US26059
26061,0500000US26061
26063,0500000US26063
26065,0500000US26065
26067,0500000US26067
26069,0500000US26069
26071,0500000US26071
26073,0500000US26073
26075,0500000US26075
26077,0500000US26077
26079,0500000US26079
26081,0500000US26081
26083,0500000US26083
26085,0500000US26085
26087,0500000US26087
26089,0500000US26089
26091,0500000US26091
26093,0500000US26093
26095,0500000US26095
26097,0500000US26097
26099,0500000US26099
26101,0500000US26101
26103,0500000US26103
26105,0500000US26105
26107,0500000US26107
26109,0500000US26109
26111,0500000US26111
26113,0500000US26113
26115,0500000US26115
26117,0500000US26117
26119,0500000US26119
26121,0500000US26121
26123,0500000US26123
26125,0500000US26125
26127,0500000US26127
